,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)"
,"2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"WHO region","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Global","5.5 [4.8-6.2]","8.7 [7.7-9.9]","2.2 [1.9-2.5]","5.9 [5.2-6.7]","9.4 [8.3-10.6]","2.4 [2.1-2.7]","5.7 [5.1-6.4]","9.1 [8.0-10.3]","2.3 [2.1-2.6]","5.0 [4.5-5.6]","7.9 [7.1-8.9]","2.1 [1.9-2.3]","5.1 [4.6-5.6]","8.0 [7.2-9.0]","2.1 [1.9-2.4]"
"Africa","4.5 [4.0-5.1]","7.5 [6.6-8.5]","1.6 [1.4-1.8]","4.7 [4.1-5.3]","7.7 [6.8-8.8]","1.7 [1.5-1.9]","4.7 [4.2-5.4]","7.9 [6.9-8.9]","1.7 [1.5-2.0]","5.4 [4.7-6.1]","8.9 [7.7-10.0]","2.0 [1.7-2.2]","5.5 [4.9-6.3]","9.2 [8.1-10.4]","2.1 [1.8-2.3]"
"Americas","7.5 [6.3-8.7]","11.9 [10.1-13.8]","3.3 [2.7-3.8]","7.7 [6.5-9.0]","12.2 [10.4-14.2]","3.3 [2.8-4.0]","7.8 [6.7-9.1]","12.4 [10.6-14.4]","3.4 [2.9-4.0]","7.8 [6.6-9.1]","12.3 [10.4-14.4]","3.4 [2.9-4.0]","7.8 [6.6-9.0]","12.3 [10.4-14.3]","3.4 [2.9-4.0]"
"South-East Asia","3.8 [2.3-5.6]","6.4 [3.7-9.2]","1.2 [0.7-1.8]","3.9 [2.2-5.5]","6.4 [3.6-9.1]","1.3 [0.7-1.8]","3.6 [2.1-5.1]","5.9 [3.4-8.5]","1.2 [0.7-1.7]","2.1 [1.1-3.3]","3.5 [1.8-5.5]","0.7 [0.4-1.1]","1.8 [0.9-2.9]","3.0 [1.4-4.8]","0.6 [0.3-0.9]"
"Europe","9.2 [8.4-10.0]","14.9 [13.6-16.2]","4.0 [3.6-4.4]","9.5 [8.7-10.3]","15.3 [14.0-16.6]","4.1 [3.8-4.5]","10.2 [9.3-11.1]","16.5 [15.1-17.9]","4.5 [4.1-4.9]","10.9 [10.0-11.8]","17.7 [16.2-19.1]","4.8 [4.4-5.2]","11.1 [10.2-12.1]","17.9 [16.5-19.5]","4.8 [4.4-5.3]"
"Eastern Mediterranean","0.3 [0.2-0.5]","0.5 [0.4-0.9]","0.1 [0.0-0.1]","0.3 [0.2-0.5]","0.5 [0.4-0.9]","0.1 [0.0-0.1]","0.4 [0.2-0.7]","0.7 [0.4-1.1]","0.1 [0.1-0.2]","0.2 [0.2-0.4]","0.4 [0.3-0.6]","0.1 [0.0-0.1]","0.2 [0.2-0.4]","0.4 [0.3-0.6]","0.1 [0.0-0.1]"
"Western Pacific","6.1 [4.3-7.9]","9.6 [6.8-12.5]","2.5 [1.8-3.2]","7.2 [5.3-9.2]","11.5 [8.4-14.6]","3.0 [2.2-3.9]","6.1 [4.4-8.0]","9.7 [6.9-12.7]","2.5 [1.8-3.3]","4.2 [2.8-5.6]","6.6 [4.4-9.0]","1.7 [1.2-2.3]","4.3 [3.0-5.9]","6.8 [4.6-9.3]","1.8 [1.2-2.4]"
