region,sex,year,prevalence_of_tobacco
Global,male,2019,37.3
Africa,male,2019,18.4
Americas,male,2019,21.9
South-East Asia,male,2019,47.4
Europe,male,2019,33.5
Eastern Mediterranean,male,2019,34.1
Western Pacific,male,2019,46.8
Global,female,2019,8.1
Africa,female,2019,2.9
Americas,female,2019,11.7
South-East Asia,female,2019,11.9
Europe,female,2019,17.9
Eastern Mediterranean,female,2019,4.4
Western Pacific,female,2019,2.9
Global,male,2015,39.5
Africa,male,2015,19.9
Americas,male,2015,24.1
South-East Asia,male,2015,51.1
Europe,male,2015,35.8
Eastern Mediterranean,male,2015,35.3
Western Pacific,male,2015,47.5
Global,female,2015,9.3
Africa,female,2015,3.5
Americas,female,2015,13.2
South-East Asia,female,2015,14.7
Europe,female,2015,18.6
Eastern Mediterranean,female,2015,5.2
Western Pacific,female,2015,3.2
Global,male,2010,42.3
Africa,male,2010,22.3
Americas,male,2010,27.4
South-East Asia,male,2010,55.8
Europe,male,2010,38.9
Eastern Mediterranean,male,2010,37.7
Western Pacific,male,2010,48.4
Global,female,2010,11.1
Africa,female,2010,4.4
Americas,female,2010,15.2
South-East Asia,female,2010,19.3
Europe,female,2010,19.7
Eastern Mediterranean,female,2010,6.4
Western Pacific,female,2010,3.7
Global,male,2000,49.3
Africa,male,2000,28.7
Americas,male,2000,35.5
South-East Asia,male,2000,68.2
Europe,male,2000,46.5
Eastern Mediterranean,male,2000,44.1
Western Pacific,male,2000,50.8
Global,female,2000,16.2
Africa,female,2000,7.1
Americas,female,2000,20.6
South-East Asia,female,2000,32.5
Europe,female,2000,22.6
Eastern Mediterranean,female,2000,10.2
Western Pacific,female,2000,5.0
